CableId, Panel Id, Description, Location, Room, Affl, Dest Rack Id, CableId, Qty, Keystone
HC290, MX912, MOTOR, STAGE G15, G15, WALL, MX612-B, HC290, 1, 2
HC291, , SPARE, , , , , HC291, -1, 3
HC292, , SPARE, , , , , HC292, -1, 4
HC293, , SPARE, , , , , HC293, -1, 5
HC294, , SPARE, , , , , HC294, -1, 6
HC295, , SPARE, , , , , HC295, -1, 7
HC296, , SPARE, , , , , HC296, -1, 8
HC297, , SPARE, , , , , HC297, -1, 9
HC298, , SPARE, , , , , HC298, -1, 10
HC299, , SPARE, , , , , HC299, -1, 11
HC300, , SPARE, , , , , HC300, -1, 12
HC301, , SPARE, , , , , HC301, -1, 13
HC302, , SPARE, , , , , HC302, -1, 14
HC303, , SPARE, , , , , HC303, -1, 15
HC304, , SPARE, , , , , HC304, -1, 16
HC305, , SPARE, , , , , HC305, -1, 17
HC306, , SPARE, , , , , HC306, -1, 18
HC307, , SPARE, , , , , HC307, -1, 19
HC308, , SPARE, , , , , HC308, -1, 20
HC309, , SPARE, , , , , HC309, -1, 21
HC310, , SPARE, , , , , HC310, -1, 22
HC311, , SPARE, , , , , HC311, -1, 23
HC312, , SPARE, , , , , HC312, -1, 24
HC313, MX613-A, SINGLE AXIS CONTROLLER, TECH (GALLERY), 218, RAILING, MX613-B, HC313, 1, 1
HC314, MX913, MOTOR, STAGE G15, G15, WALL, MX613-B, HC314, 1, 2
HC315, , SPARE, , , , , HC315, -1, 3
HC316, , SPARE, , , , , HC316, -1, 4
HC317, , SPARE, , , , , HC317, -1, 5
HC318, , SPARE, , , , , HC318, -1, 6
HC319, , SPARE, , , , , HC319, -1, 7
HC320, , SPARE, , , , , HC320, -1, 8
HC321, , SPARE, , , , , HC321, -1, 9
HC322, , SPARE, , , , , HC322, -1, 10
HC323, , SPARE, , , , , HC323, -1, 11
HC324, , SPARE, , , , , HC324, -1, 12
