           Id         Description                  Location                     Room          Affl          SourcePanelId DestinationPanelId CableType    
Cable:     TD338      D: DIMMER RACK               L: TECH                      R: 220        A: 500        FROM: DIM601     TO: ER401      C: <cable typ
Cable:     DM505      D: DIMMER RACK               L: TECH                      R: 220        A: 500        FROM: DIM601     TO: ER401      C: <cable typ
Cable:     MF001      D: EQPT RACK                 L: TECH ROOM                 R: 117        A: 0          FROM: ER401      TO: ER491      C: <cable typ
Cable:     MF002      D: EQPT RACK                 L: TECH ROOM                 R: 117        A: 0          FROM: ER401      TO: ER491      C: <cable typ
Cable:     MF003      D: EQPT RACK                 L: TECH ROOM                 R: 117        A: 0          FROM: ER401      TO: ER491      C: <cable typ
Cable:     MF004      D: EQPT RACK                 L: TECH ROOM                 R: 117        A: 0          FROM: ER401      TO: ER491      C: <cable typ
Cable:     MF005      D: EQPT RACK                 L: TECH ROOM                 R: 117        A: 0          FROM: ER401      TO: ER491      C: <cable typ
Cable:     MF006      D: EQPT RACK                 L: TECH ROOM                 R: 117        A: 0          FROM: ER401      TO: ER491      C: <cable typ
Cable:     MF007      D: EQPT RACK                 L: TECH ROOM                 R: 117        A: 0          FROM: ER401      TO: ER491      C: <cable typ
Cable:     MF008      D: EQPT RACK                 L: TECH ROOM                 R: 117        A: 0          FROM: ER401      TO: ER491      C: <cable typ
Cable:     MF009      D: EQPT RACK                 L: TECH ROOM                 R: 117        A: 0          FROM: ER401      TO: ER491      C: <cable typ
Cable:     MF010      D: EQPT RACK                 L: TECH ROOM                 R: 117        A: 0          FROM: ER401      TO: ER491      C: <cable typ
Cable:     MF011      D: EQPT RACK                 L: TECH ROOM                 R: 117        A: 0          FROM: ER401      TO: ER491      C: <cable typ
Cable:     MF012      D: EQPT RACK                 L: TECH ROOM                 R: 117        A: 0          FROM: ER401      TO: ER491      C: <cable typ
Cable:     TD361      D: EQPT RACK                 L: CONTROL ROOM              R:            A: 0          FROM: ER491      TO: ER401      C: <cable typ
Cable:     TD362      D: EQPT RACK                 L: CONTROL ROOM              R:            A: 0          FROM: ER491      TO: ER401      C: <cable typ
Cable:     TD363      D: EQPT RACK                 L: CONTROL ROOM              R:            A: 0          FROM: ER491      TO: ER401      C: <cable typ
Cable:     TD364      D: EQPT RACK                 L: CONTROL ROOM              R:            A: 0          FROM: ER491      TO: ER401      C: <cable typ
Cable:     TD365      D: EQPT RACK                 L: CONTROL ROOM              R:            A: 0          FROM: ER491      TO: ER401      C: <cable typ
Cable:     TD366      D: EQPT RACK                 L: CONTROL ROOM              R:            A: 0          FROM: ER491      TO: ER401      C: <cable typ
Cable:     TD367      D: EQPT RACK                 L: CONTROL ROOM              R:            A: 0          FROM: ER491      TO: ER401      C: <cable typ
Cable:     TD368      D: EQPT RACK                 L: CONTROL ROOM              R:            A: 0          FROM: ER491      TO: ER401      C: <cable typ
Cable:     TD369      D: EQPT RACK                 L: CONTROL ROOM              R:            A: 0          FROM: ER491      TO: ER401      C: <cable typ
Cable:     TD370      D: EQPT RACK                 L: CONTROL ROOM              R:            A: 0          FROM: ER491      TO: ER401      C: <cable typ
Cable:     MF025      D: EQPT RACK                 L: CONTROL ROOM              R:            A: 0          FROM: ER491      TO: ER401      C: <cable typ
Cable:     MF026      D: EQPT RACK                 L: CONTROL ROOM              R:            A: 0          FROM: ER491      TO: ER401      C: <cable typ
Cable:     MF027      D: EQPT RACK                 L: CONTROL ROOM              R:            A: 0          FROM: ER491      TO: ER401      C: <cable typ
Cable:     MF028      D: EQPT RACK                 L: CONTROL ROOM              R:            A: 0          FROM: ER491      TO: ER401      C: <cable typ
Cable:     MF029      D: EQPT RACK                 L: CONTROL ROOM              R:            A: 0          FROM: ER491      TO: ER401      C: <cable typ
Cable:     MF030      D: EQPT RACK                 L: CONTROL ROOM              R:            A: 0          FROM: ER491      TO: ER401      C: <cable typ
Cable:     MF031      D: EQPT RACK                 L: CONTROL ROOM              R:            A: 0          FROM: ER491      TO: ER401      C: <cable typ
Cable:     MF032      D: EQPT RACK                 L: CONTROL ROOM              R:            A: 0          FROM: ER491      TO: ER401      C: <cable typ
Cable:     MF033      D: EQPT RACK                 L: CONTROL ROOM              R:            A: 0          FROM: ER491      TO: ER401      C: <cable typ
Cable:     MF034      D: EQPT RACK                 L: CONTROL ROOM              R:            A: 0          FROM: ER491      TO: ER401      C: <cable typ
Cable:     MF035      D: EQPT RACK                 L: CONTROL ROOM              R:            A: 0          FROM: ER491      TO: ER401      C: <cable typ
Cable:     MF036      D: EQPT RACK                 L: CONTROL ROOM              R:            A: 0          FROM: ER491      TO: ER401      C: <cable typ
Cable:     TD385      D: FLOORBOXES                L: STAGE                     R: G15        A: 0          FROM: FB201      TO: ER401      C: <cable typ
Cable:     TD386      D: FLOORBOXES                L: STAGE                     R: G15        A: 0          FROM: FB201      TO: ER401      C: <cable typ
Cable:     DM529      D: FLOORBOXES                L: STAGE                     R: G15        A: 0          FROM: FB201      TO: ER401      C: <cable typ
Cable:     DM530      D: FLOORBOXES                L: STAGE                     R: G15        A: 0          FROM: FB201      TO: ER401      C: <cable typ
Cable:     TD409      D: FLOORBOXES                L: STAGE                     R: G15        A: 0          FROM: FB202      TO: ER401      C: <cable typ
Cable:     TD410      D: FLOORBOXES                L: STAGE                     R: G15        A: 0          FROM: FB202      TO: ER401      C: <cable typ
Cable:     DM553      D: FLOORBOXES                L: STAGE                     R: G15        A: 0          FROM: FB202      TO: ER401      C: <cable typ
Cable:     DM554      D: FLOORBOXES                L: STAGE                     R: G15        A: 0          FROM: FB202      TO: ER401      C: <cable typ
Cable:     TD433      D: FLOORBOXES                L: STAGE                     R: G15        A: 0          FROM: FB203      TO: ER401      C: <cable typ
Cable:     TD434      D: FLOORBOXES                L: STAGE                     R: G15        A: 0          FROM: FB203      TO: ER401      C: <cable typ
