CableId, Panel Id, Description, Location, Room, Affl, Dest Rack Id, CableId, Qty, SystemType
TD061, FB258, FLOORBOXES, AUDITORIUM, G16, 0, ER401, TD061, 2, TECHNICAL_DATA
TD062, FB258, FLOORBOXES, AUDITORIUM, G16, 0, ER401, TD062, 2, TECHNICAL_DATA
TD063, FB259, FLOORBOXES, AUDITORIUM, G16, 0, ER401, TD063, 2, TECHNICAL_DATA
TD064, FB259, FLOORBOXES, AUDITORIUM, G16, 0, ER401, TD064, 2, TECHNICAL_DATA
TD065, FS651, FOLLOW SPOT, LEVEL 2 BALCONY, , 150, ER401, TD065, 1, TECHNICAL_DATA
TD066, FS652, FOLLOW SPOT, LEVEL 2 BALCONY, , 150, ER401, TD066, 1, TECHNICAL_DATA
TD067, FY201, TECH PANEL/FLOOR BOX, FUNCTION/FOYER, G01, 0, ER401, TD067, 2, TECHNICAL_DATA
TD068, FY201, TECH PANEL/FLOOR BOX, FUNCTION/FOYER, G01, 0, ER401, TD068, 2, TECHNICAL_DATA
TD069, FY202, TECH PANEL, FUNCTION/FOYER, G01, 300, ER401, TD069, 2, TECHNICAL_DATA
TD070, FY202, TECH PANEL, FUNCTION/FOYER, G01, 300, ER401, TD070, 2, TECHNICAL_DATA
TD071, FY211, TECH PANEL/FLOOR BOX, FUNCTION/FOYER, G01, 0, ER401, TD071, 2, TECHNICAL_DATA
TD072, FY211, TECH PANEL/FLOOR BOX, FUNCTION/FOYER, G01, 0, ER401, TD072, 2, TECHNICAL_DATA
